species,IC
PYRUVATE,1e-06
NAD,9.9e-07
NADH,1e-08
FAD,4.9e-08
FADH2,1e-09
Q,1e-09
ATP,7.7e-07
ADP,5.7e-09
AMP,4.4e-11
AMPK,7.5e-08
LKB1,1e-08
PP2A,1e-08
AMPK_ATP,7.5e-08
AMPK_ADP,7.5e-08
AMPK_AMP,7.5e-08
AMPKA,7.5e-08
AMPKA_ATP,7.5e-08
AMPKA_ADP,7.5e-08
AMPKA_AMP,7.5e-08
AMPK_LKB1,0.0
AMPK_ATP_LKB1,0.0
AMPK_ADP_LKB1,0.0
AMPK_AMP_LKB1,0.0
AMPKA_PP2A,0.0
AMPKA_ATP_PP2A,0.0
AMPKA_ADP_PP2A,0.0
AMPKA_AMP_PP2A,0.0
GLUCOUT,1e-06
GLUT1,3e-08
GLUCIN,5e-06
GLUT1_GLUCOUT,0.0
GLUT1_GLUCIN,0.0
AKT,0
AKTA,1e-10
MTOR,0
MTORA,7e-10
RHEB,0
RHEBA,3e-10
TSC,2.25e-10
TSCA,0
ULK,1.4e-10
ULKA,0
RAP,0
RK,0
FKBP12,7e-10
RKMTORA,0
RAPOUT,5e-5
REF,1